Age,Sex,Pref,DiagnoseYear,Population
40,female,5101,2016,147105
40,female,5101,2017,129597
40,female,5101,2018,114760
41,female,5101,2000,46574
41,female,5101,2001,39098
41,female,5101,2002,37216
41,female,5101,2003,71663
41,female,5101,2004,146660
41,female,5101,2005,118881
41,female,5101,2006,130468
41,female,5101,2007,130737
41,female,5101,2008,119755
41,female,5101,2009,154106
41,female,5101,2010,161678
41,female,5101,2011,167150
41,female,5101,2012,175745
41,female,5101,2013,160460
41,female,5101,2014,159496
41,female,5101,2015,154362
41,female,5101,2016,163920
41,female,5101,2017,147456
41,female,5101,2018,129998
42,female,5101,2000,73874
42,female,5101,2001,46855
42,female,5101,2002,39994
42,female,5101,2003,38359
42,female,5101,2004,73122
42,female,5101,2005,148518
42,female,5101,2006,121333
42,female,5101,2007,133328
42,female,5101,2008,133783
42,female,5101,2009,122726
42,female,5101,2010,156653
42,female,5101,2011,163556
42,female,5101,2012,168399
42,female,5101,2013,176499
42,female,5101,2014,160893
42,female,5101,2015,159780
42,female,5101,2016,154666
42,female,5101,2017,164262
42,female,5101,2018,147847
43,female,5101,2000,82004
43,female,5101,2001,74039
43,female,5101,2002,47560
43,female,5101,2003,40919
43,female,5101,2004,39592
43,female,5101,2005,74723
43,female,5101,2006,150516
43,female,5101,2007,123732
43,female,5101,2008,135887
43,female,5101,2009,136284
43,female,5101,2010,124910
43,female,5101,2011,158249
43,female,5101,2012,164616
43,female,5101,2013,169039
43,female,5101,2014,176854
43,female,5101,2015,161131
43,female,5101,2016,160038
43,female,5101,2017,154967
43,female,5101,2018,164602
44,female,5101,2000,82478
44,female,5101,2001,82040
44,female,5101,2002,74470
44,female,5101,2003,48229
44,female,5101,2004,41873
44,female,5101,2005,40921
44,female,5101,2006,76453
44,female,5101,2007,152518
44,female,5101,2008,125971
44,female,5101,2009,138110
44,female,5101,2010,138253
44,female,5101,2011,126404
44,female,5101,2012,159245
44,female,5101,2013,165232
44,female,5101,2014,169396
44,female,5101,2015,177097
44,female,5101,2016,161408
44,female,5101,2017,160364
44,female,5101,2018,155335
45,female,5101,2000,90972
45,female,5101,2001,82499
45,female,5101,2002,82442
45,female,5101,2003,75079
45,female,5101,2004,49158
45,female,5101,2005,43182
45,female,5101,2006,42673
45,female,5101,2007,78514
45,female,5101,2008,154683
45,female,5101,2009,128164
45,female,5101,2010,140040
45,female,5101,2011,139708
45,female,5101,2012,127403
45,female,5101,2013,159851
45,female,5101,2014,165585
45,female,5101,2015,169642
45,female,5101,2016,177372
45,female,5101,2017,161737
45,female,5101,2018,160736
46,female,5101,2000,89527
46,female,5101,2001,90965
46,female,5101,2002,82853
46,female,5101,2003,82967
46,female,5101,2004,75861
46,female,5101,2005,50310
46,female,5101,2006,44733
46,female,5101,2007,44535
46,female,5101,2008,80496
46,female,5101,2009,156566
46,female,5101,2010,129851
46,female,5101,2011,141295
46,female,5101,2012,140552
46,female,5101,2013,127929
46,female,5101,2014,160135
46,female,5101,2015,165773
46,female,5101,2016,169854
46,female,5101,2017,177628
46,female,5101,2018,162042
47,female,5101,2000,94972
47,female,5101,2001,89488
47,female,5101,2002,91260
47,female,5101,2003,83344
47,female,5101,2004,83712
47,female,5101,2005,76961
47,female,5101,2006,51862
47,female,5101,2007,46624
47,female,5101,2008,46610
47,female,5101,2009,82521
47,female,5101,2010,158279
47,female,5101,2011,131165
47,female,5101,2012,142175
47,female,5101,2013,141095
47,female,5101,2014,128250
47,female,5101,2015,160341
47,female,5101,2016,166006
47,female,5101,2017,170137
47,female,5101,2018,177958
48,female,5101,2000,93483
48,female,5101,2001,94902
48,female,5101,2002,89752
48,female,5101,2003,91660
48,female,5101,2004,83960
48,female,5101,2005,84590
48,female,5101,2006,78159
48,female,5101,2007,53335
48,female,5101,2008,48214
48,female,5101,2009,48164
48,female,5101,2010,83830
48,female,5101,2011,159167
48,female,5101,2012,131767
48,female,5101,2013,142524
48,female,5101,2014,141285
48,female,5101,2015,128383
48,female,5101,2016,160486
48,female,5101,2017,166191
48,female,5101,2018,170362
49,female,5101,2000,76679
49,female,5101,2001,93357
49,female,5101,2002,95021
49,female,5101,2003,90005
49,female,5101,2004,92080
49,female,5101,2005,84623
49,female,5101,2006,85520
49,female,5101,2007,79311
49,female,5101,2008,54640
49,female,5101,2009,49513
49,female,5101,2010,49305
49,female,5101,2011,84640
49,female,5101,2012,159621
49,female,5101,2013,132044
49,female,5101,2014,142654
49,female,5101,2015,141363
49,female,5101,2016,128493
49,female,5101,2017,160619
49,female,5101,2018,166364
50,female,5101,2000,71125
50,female,5101,2001,76589
50,female,5101,2002,93469
50,female,5101,2003,95242
50,female,5101,2004,90397
50,female,5101,2005,92675
50,female,5101,2006,85477
50,female,5101,2007,86556
50,female,5101,2008,80450
50,female,5101,2009,55801
50,female,5101,2010,50529
50,female,5101,2011,50055
50,female,5101,2012,85090
50,female,5101,2013,159788
50,female,5101,2014,132123
50,female,5101,2015,142677
50,female,5101,2016,141411
50,female,5101,2017,128583
50,female,5101,2018,160726
51,female,5101,2000,75670
51,female,5101,2001,71038
51,female,5101,2002,76718
51,female,5101,2003,93648
